Store Name,Address,Timing,Coordinates,Phone Number
 V-Mart ," No D 3, Block 1, Central Market 2, Lajpat Nagar, South East Delhi, Delhi, 110024",10:00 AM to 10:00 PM,"28.568548,77.242454",08448982285
 V-Mart ," Shop No 610 And 611, Ravi Das Marg, Main Bazar Road, Guru Ram Das Nagar, Laxmi Nagar, New Delhi, Delhi, 110092",10:00 AM to 10:00 PM,"28.6365793,77.2790923",09313699995
 V-Mart ," C 7, Jyoti Nagar West, North Chajjupur, Block A, Shahdara, New Delhi, Delhi, 110032",10:00 AM to 10:00 PM,"28.689468,77.2880388",09310965120
 V-Mart ," No E/561/A & E/561B, Palam Extension, Dwarka, New Delhi, Delhi, 110075",10:00 AM to 10:00 PM,"28.583891,77.071784",07042989955
 V-Mart ," Virendar Nagar, Block B, Sant Nagar, 100 feet Road, near Axis Bank, Burari, North Delhi, Delhi, 110084",10:00 AM to 10:00 PM,"28.7427944,77.1980152",09289551045
 V-Mart ," Raghuveer Complex, Main Dadri Road, Bhangel, Noida, Gautam Buddha Nagar, Uttar Pradesh, 201304",10:00 AM to 10:00 PM,"28.53891,77.38914",08467922637
 V-Mart ," Main Road, Gandhi Nagar, Near Snapdeal, Nehru Nagar, Ghaziabad, Uttar Pradesh, 201001",11:00 AM to 10:00 PM,"28.656525,77.436216",09289792511
 V-Mart ," Ground Floor, Kali Mandir, Opposite Old Nit Bus Stand, New Industrial Town, Faridabad, Haryana, 121001",10:00 AM to 10:00 PM,"28.3839105,77.2888889",09289447776
 V-Mart ," Plot No 63, Block A, Pana Udyan, Narela, North West Delhi, Delhi, 110040",10:00 AM to 10:00 PM,"28.852096,77.088581",07428495287
 V-Mart ," Mangla Tower, Main Badshahpur Sohna Road, Sector 66, Near Mamta Sweets, Badshahpur, Gurugram, Haryana, 122101",10:00 AM to 10:00 PM,"28.390745,77.049525",09810891205
 V-Mart ," Bhatia Complex, Agra Chowk, Moti Colony, Palwal, Faridabad, Haryana, 121102",11:00 AM to 10:00 PM,"28.136079,77.329172",09667738051
 V-Mart ," Satyam Palace 552, Budhana Gate, Nigar Cinema Road, Jattiwara, Meerut, Uttar Pradesh, 250002",10:00 AM to 10:00 PM,"28.9814074,77.7000097",09368356534
 V-Mart ," Khasra No, 6051, Garh Road, Opposite Tanishq Showroom, Tejgarhi, Meerut, Uttar Pradesh, 250002",10:00 AM to 10:00 PM,"28.9664249,77.7319766",09319697765
 V-Mart ," House No 15, GT Rd, South Civil Lines, Muzaffarnagar, Uttar Pradesh, 251002",10:00 AM to 10:00 PM,"29.47054961,77.69670381",09368019700
 V-Mart ," House No 15, Gt Road, South Civil Lines, Muzaffarnagar, Uttar Pradesh, 251002",10:00 AM to 10:00 PM,"29.4705398,77.6967287",09368019700
 V-Mart ," Narendra Banquet Hall, Ramghat Road, Shyam Nagar, Aligarh, Uttar Pradesh, 202001",10:00 AM to 10:00 PM,"27.8898629,78.0817169",09359758123
 V-Mart ," Shop No I/4/145, Gt Road, Vaishnodham, Near Etah Chungi, Kunwar Nagar, Aligarh, Uttar Pradesh, 202002",10:00 AM to 10:00 PM,"27.8736699,78.0993629",08448858304
 V-Mart ," Kot Chauraha, Danishmandan, Amroha, Jyotiba Phule Nagar, Uttar Pradesh, 244221",10:00 AM to 10:00 PM,"28.9007261,78.4698382",08287830228
 V-Mart ," Sn Tower, Krishna Vihar Road, Professor Colony, Mathura, Uttar Pradesh, 281001",10:00 AM to 10:00 PM,"27.493156,77.66852",09368894723
 V-Mart ," Shop No 141, Shri Mukesh Ji Mall, Sikatra Walagroup, Nayaganj, Hathras, Uttar Pradesh, 204101",10:00 AM to 10:00 PM,"27.592931,78.053467",09358233270
 V-Mart ," City Tower, Nh 58, Opposite Roadways Bus Stand, Manglaur, Roorkee, Uttarakhand, 247656",10:00 AM to 10:00 PM,"29.7941454,77.8742929",08448599931
 V-Mart ," Plot No. 2, Shivaji Colony, Delhi Road, Near South City, Police Line, Saharanpur, Uttar Pradesh, 247001",10:00 AM to 10:00 PM,"29.941583,77.542028",09319697764
 V-Mart ," Plot No 864, Bahjoi Road, Sambhal, Near SS International School, Vikas Nagar, Moradabad, Uttar Pradesh, 202412",10:00 AM to 10:00 PM,"28.4608843,78.7698985",08448855637
 V-Mart ," Uttam Hotel, Ambala Road, Subhash Nagar, Saharanpur, Uttar Pradesh, 247001",10:00 AM to 10:00 PM,"29.9647332,77.5452831",09319493020
 V-Mart ," Ward No 18, Part 2, Ramnagar, Ramnagar, Roorkee, Uttarakhand, 247667",11:00 AM to 10:00 PM,"29.87255281,77.8763536",09599805700
 V-Mart ," Reti Street, Chowmukha Pul, Purani Kotwali, Civil Lines, Moradabad, Uttar Pradesh, 244001",10:00 AM to 10:00 PM,"28.8386472,78.7733288",09358846761
 V-Mart ," Reti Street, Chowmukha Pul, Purani Kotwali, Civil Lines, Moradabad, Uttar Pradesh, 244001",10:00 AM to 10:00 PM,"28.8386481,78.7733287",09358846761
 V-Mart ," Reti Street, Chowmukha Pul, Purani Kotwali, Civil Lines, Moradabad, Uttar Pradesh, 244001",10:00 AM to 10:00 PM,"28.8386481,78.7733287",09358846761
 V-Mart ," Plot No R/104, Sankalp Complex, Phase 3, Bhel, Phase 3, Bhel, Shivalik Nagar, Haridwar, Uttarakhand, 249403",11:00 AM to 10:00 PM,"29.933744,78.0766888",09667759868
 V-Mart ," 400, Awas Vikas, Ranipur Mode Bypass Road, Prem Nagar, Haridwar, Uttarakhand, 249407",10:00 AM to 10:00 PM,"29.9346176,78.1343112",07520401086
 V-Mart ," 400, Awas Vikas, Ranipur Mode, Haridwar, Uttarakhand, 249407",10:00 AM to 10:00 PM,"29.9346336,78.13431225",07520401086
 V-Mart ," Fdra Plaza, Malipur Road, Shahzad Pur, Akbarpur, Ambedkar Nagar, Uttar Pradesh, 224122",10:00 AM to 10:00 PM,"28.9832763,78.9331454",09336330986
 V-Mart ," C 1/13, Gemini Plaza, Sector No 13, Near HDFC Bank, Sikandra Yojna, Agra, Uttar Pradesh, 282007",10:00 AM to 10:00 PM,"27.2043993,77.9546203",07428389500
 V-Mart ," Plot No 775, Block E, Pani Tanki Road, Kamla Nagar, Kamla Nagar, Agra, Uttar Pradesh, 282005",10:00 AM to 10:00 PM,"27.2145802,78.0216571",09358980471
 V-Mart ," No 3/67, Rui Ki Mandi Market, Shahganj, Agra, Uttar Pradesh, 282001",10:00 AM to 10:00 PM,"27.1757195,77.9887907",07290048105
 V-Mart ," Ground Floor, Shaukat Ali Road, Opposite Shiv Cinema, Civil Lines, Rampur, Uttar Pradesh, 244901",10:00 AM to 10:00 PM,"28.7898413,79.0213417",09773989145
 V-Mart ," Devi Road, Sitabpur Patti, Sukharo, Pauri Garhwal, Sukharo, Kotdwar, Uttarakhand, 246149",11:00 AM to 10:00 PM,"29.743323,78.51104589",08130918811
 V-Mart ," Khasra No 52, Mc No 58/293C, Vip Road, Saraikhwaja, Agra, Uttar Pradesh, 282001",10:00 AM to 10:00 PM,"27.162393,77.985875",07428661176
 V-Mart ," Plot No 157, Shashmabad Road, Rajpura, Tajganj, Agra, Uttar Pradesh, 282003",10:00 AM to 10:00 PM,"27.1539534,78.0343772",09319255722
 V-Mart ," Priya Mall, Railway Crossing, Bajpur Road, Near Maharana Pratap Chowk, Kashipur, Udham Singh Nagar, Uttarakhand, 244713",10:00 AM to 10:00 PM,"29.211397,78.961885",09358855677
 V-Mart ," Vijay Nagar, GT Road, Opposite Medical Collage, Babuganj, Etah, Uttar Pradesh, 272207",11:00 AM to 10:00 PM,"27.557718,78.66046",09599298108
 V-Mart ," Ground Floor, Rishikesh Haridwar Road, Opposite Icici Bank, Mayakund, Rishikesh, Uttarakhand, 249201",10:00 AM to 10:00 PM,"30.108024,78.300875",09821189475
 V-Mart ," Lakshmi Bldg Jogipura, Jogipura, Budaun, Uttar Pradesh, 243601",10:00 AM to 10:00 PM,"28.03328413,79.12763184",07520914322
 V-Mart ," Lakshmi Building, Gandhi Ground Road, Jogipura, Budaun, Uttar Pradesh, 243601",10:00 AM to 10:00 PM,"28.0332759,79.1276356",07520914322
 V-Mart ," Shop No 16/Da, Sn Road, Near Yes Bank, Nai Basti, Firozabad, Uttar Pradesh, 283203",10:00 AM to 10:00 PM,"27.1515617,78.3886578",09359081611
 V-Mart ," 2526 A/2637, Blk 2, Jagadhari Gate, Patel Road, Jogiwara, Old Town, Ambala, Haryana, 134003",10:00 AM to 10:00 PM,"30.3842684,76.773335",09354668787
 V-Mart ," Walia Compound, Saharanpur Road, Majra, Near Royal Enfield Showroom, Niranjanpur, Dehradun, Uttarakhand, 248001",10:00 AM to 10:00 PM,"30.3049837,78.0127213",08448382153
 V-Mart ," Dehradun Haridwar Road, Ajabpur Kalan, Near Vidhan Sabha Chowk, Dharampur, Dehradun, Uttarakhand, 248001",11:00 AM to 10:00 PM,"30.29398075,78.05835493",09599806006
 V-Mart ," No 03/02, Chakarta Road, Kishan Nagar Chowk, Chakrata, Dehradun, Uttarakhand, 248001",10:00 AM to 10:00 PM,"30.329948,78.029991",09368214722
 V-Mart ," Shop No 03/02, Chakarta Road, Kishan Nagar Chowk, Kishan Nagar Chowk, Dehradun, Uttarakhand, 248001",10:00 AM to 10:00 PM,"30.33348323,78.02556904",09368214722
 V-Mart ," Ground Floor, Raipur Road, Near Servey Chowk, Dalanwala, Dehradun, Uttarakhand, 248001",10:00 AM to 10:00 PM,"30.324251,78.057111",08448982288
 V-Mart ," Main Road, Purani Bazar, Rasoolpur, Adjacent Smile Store, Vikasnagar, Dehradun, Uttarakhand, 248198",11:00 AM to 10:00 PM,"30.4743345,77.781702",09810847660
 V-Mart ," 16/2, Divine Tower, Civil Lines, Kichha, Udham Singh Nagar, Uttarakhand, 263153",10:00 AM to 10:00 PM,"28.9812848,79.3987042",09359865304
 V-Mart ," Kapil Hosiery, Macinor Road, Opposite Gala Agency, Brahampura, Bareilly, Uttar Pradesh, 243005",10:00 AM to 10:00 PM,"28.3736924,79.4222491",09667300354
 V-Mart ," Jk Hotel, Shayamat Ganj, College Road, Near Vikas Bhawan, Rampur Garden, Bareilly, Uttar Pradesh, 243001",10:00 AM to 10:00 PM,"28.3377618,79.4195354",09358886200
 V-Mart ," Sco. No Bus Stand 3 & 4, Sector 19, Zirakpur, Punjab, 140603",10:00 AM to 10:00 PM,"30.6606763,76.8244899",07428389505
 V-Mart ," Plot No 51, Amer Road, Chaukadi, Near Kacha Bandha, Subhash Chowk, Jaipur, Rajasthan, 302002",10:00 AM to 10:00 PM,"26.929489,75.8320812",07290026402
 V-Mart ," Kedia Palace Road, Murlipura, Theme Colony, Jaipur, Rajasthan, 302039",11:00 AM to 10:00 PM,"26.970102,75.765961",09810848981
 V-Mart ," Shop No 345/1, Fashion Street, Raja Park, Jawahar Nagar, Jaipur, Rajasthan, 302004",10:00 AM to 10:00 PM,"26.8957823,75.8269077",07428399967
 V-Mart ," Kaladhungi Road, Heera Nagar, Haldwani, Nainital, Uttarakhand, 263139",10:00 AM to 10:00 PM,"29.2174651,79.5207781",09368165995
 V-Mart ," Plot No 1 And 2, Kanta Chauraha, Kalawar Road, Kalyan Kunj Colony, Kalawar Road, Jhotwara, Jaipur, Rajasthan, 302012",10:00 AM to 10:00 PM,"26.945385,75.739721",07428389506
 V-Mart ," Sco 44, Chandigarh Panchkula Road, Manimajra, Sector 13, Chandigarh, Chandigarh, 160101",10:00 AM to 10:00 PM,"30.7101368,76.8393662",09356347954
 V-Mart ," Station Road, Adjacent Purshotum Collection, Jeevalal Colony, Mainpuri, Uttar Pradesh, 205001",10:00 AM to 10:00 PM,"27.226951,79.0338691",07303585365
 V-Mart ," Plot No 21, Barkat Nagar, Tonk Fatak, Jaipur, Rajasthan, 302015",10:00 AM to 10:00 PM,"26.8782336,75.7939452",08130403831
 V-Mart ," Plot No 95, Mangal Nagar Yojna, Sirsi Road, Kanakpura, Jaipur, Rajasthan, 302015",10:00 AM to 10:00 PM,"26.92311,75.719729",07303182345
 V-Mart ," Plot No 9, Vishwa Nagar, New Sanganer Road, Sodala, Jaipur, Rajasthan, 302019",10:00 AM to 10:00 PM,"26.88571,75.768012",09311775492
 V-Mart ," No 10/167, Chitrakoot Marg, In Front Of Sector 9 Gate No 2, Sanjay Nagar, Jaipur, Rajasthan, 302021",10:00 AM to 10:00 PM,"26.899919,75.738951",07428787733
 V-Mart ," Agarwal Farm, Vijay Path, Mansarovar, Jaipur, Rajasthan, 302020",11:00 AM to 10:00 PM,"26.84806323,75.77046624",09289662262
 V-Mart ," Plot No 111/14, Kumbha Marg, Sector 11, Pratap Nagar, Jaipur, Rajasthan, 302011",10:00 AM to 10:00 PM,"26.8017495,75.8215715",08800837840
 V-Mart ," New Sanganer Road, Dada Gurudev Nagar, Adjoining Chordia Petrol Pump, Kamla Nagar, Jaipur, Rajasthan, 302029",10:00 AM to 10:00 PM,"26.8188937,75.7816784",09319255766
 V-Mart ," Godavari Complex Chawla Chauraha, Station Road, Desh Nager, Pilibhit, Uttar Pradesh, 262001",10:00 AM to 10:00 PM,"28.6279332,79.80418",08467922644
 V-Mart ," Mohalla Ahayaspur, Near Eidgah Chauraha, Bisalpur, Pilibhit, Uttar Pradesh, 262201",10:00 AM to 10:00 PM,"28.2859851,79.799661",08130038079
 V-Mart ," Iti Chauraha, Thandi Sadak, Shyam Nagar, Farrukhabad, Uttar Pradesh, 209625",10:00 AM to 10:00 PM,"27.3795924,79.585212",09389322279
 V-Mart ," Pn 1280, Swaroop Nagar, Chogurjee Nagar, Etawah, Uttar Pradesh, 206001",10:00 AM to 10:00 PM,"26.7835812,79.0241804",09311549688
 V-Mart ," Mohalla Khirni Bagh, Bahadur Ganj Road, Sadar Bazar, Sadar Bazaar, Shahjahanpur, Uttar Pradesh, 242001",10:00 AM to 10:00 PM,"27.8858698,79.9147557",09359963364
 V Mart ," Kachcha Katra Road, Near Kotwali, Aligai, Shahjahanpur, Uttar Pradesh, 242001",10:00 AM to 10:00 PM,"27.868745,79.910895",09818328316
 V-Mart ," Plot No 562, Ward No 2, Shabd Pratap Ashram Road, Gd Palace, Surya Nagar, Gird, Gwalior, Madhya Pradesh, 474008",10:00 AM to 10:00 PM,"26.2153156,78.16229",07303585368
 V-Mart ," Chitra Talkies, Nai Sadak, Opposite Filmistan Tilkis, Gird, Gwalior, Madhya Pradesh, 474009",10:00 AM to 10:00 PM,"26.2054155,78.1517824",07428199090
 V-Mart ," Plot No 184, Ek Roxy Bridge, Roxy Pul, Idgah, Lashkar, Gwalior, Madhya Pradesh, 474001",10:00 AM to 10:00 PM,"26.1952052,78.1513555",07303585367
 V-Mart ," Ganeshganj, Main Kotwali Road, Puranpur, Pilibhit, Uttar Pradesh, 262122",10:00 AM to 10:00 PM,"28.5106063,80.1452862",09667738716
 V-Mart ," Alanpur Link Road, Near Old Honda Showroom, Jeenapur, Sawai Madhopur, Rajasthan, 322001",10:00 AM to 10:00 PM,"26.008907,76.358488",09599806900
 V-Mart ," Makrand Nagar Road, Yusufpur Bhagwan, Near Axis Bank, Makrand Nagar, Kannauj, Uttar Pradesh, 209726",10:00 AM to 10:00 PM,"27.047288,79.910076",08448528657
 V-Mart ," Kanpur Road, Opposite Punjab National Bank, Brahm Nagar, Auraiya, Uttar Pradesh, 206122",10:00 AM to 10:00 PM,"26.457714,79.514776",09821189492
 V-Mart ," N Shanti Tower, Nakoder Road, Shastri Nagar, Civil Lines, Jalandhar, Punjab, 144001",10:00 AM to 10:00 PM,"31.324611,75.575051",09356244279
 V-Mart ," 544, 07, Laxmi Chowk, Dargah Bazar, Naya Bazar, Ajmer, Rajasthan, 305001",10:00 AM to 10:00 PM,"26.4605904,74.6297738",09352868890
 V-Mart ," Br Tower, Ab Road, Bank Colony, Shivpuri, Madhya Pradesh, 473551",10:00 AM to 10:00 PM,"25.4247071,77.657974",09300392950
 V-Mart ," City Centre Complex, Police Line, Bahadur Nagar, Lakhimpur, Kheri, Uttar Pradesh, 262701",10:00 AM to 10:00 PM,"27.9491004,80.7822942",09336091526
 V-Mart ," Rc Towers Eye Hospital Rd, Prem Nagar, Sitapur, Uttar Pradesh, 261001",10:00 AM to 10:00 PM,"27.5643688,80.676184",09389760960
 V-Mart ," Babina Heights, Patel Nagar, Orai, Uttar Pradesh, 285001",10:00 AM to 10:00 PM,"25.9908156,79.4349615",08467922667
 V-Mart ," No 301, Ashaf Tola, Opposite PWD Inspection House, Sandila, Hardoi, Uttar Pradesh, 241204",10:00 AM to 10:00 PM,"27.0617846,80.5101772",08800837230
 V-Mart ," Plot No 372/18, Block D, Gwalior Road, Civil Lines, Jhansi, Uttar Pradesh, 284002",10:00 AM to 10:00 PM,"25.463039,78.578418",09336091586
 V-Mart ," Kile Ki Dhal, Gandhi Chowk, Chak Ghishiyader, Nagaur, Rajasthan, 341001",10:00 AM to 10:00 PM,"27.285318,73.688762",09352308124
 V-Mart ," Shop No 1/20, Ambedakar Puram, Kalyanpur, Kanpur Nagar, Uttar Pradesh, 208017",10:00 AM to 10:00 PM,"26.4889411,80.2548641",07428495286
 V-Mart ," Rawatpur Main Road, Kakadeo, Adjacent Rave Moti Mall, Naveen Nagar, Kanpur Nagar, Uttar Pradesh, 208025",11:00 AM to 10:00 PM,"26.480971,80.2977933",08130938833
 V-Mart ," Building No 180 And 181 Vivek Nagar, Sidhauli, Sitapur, Uttar Pradesh, 261303",10:00 AM to 10:00 PM,"27.2814249,80.8375595",07379566600
 V-Mart ," 118/79, Gumti, No 5, Kaushalpuri, Darshan Purwa, Shastri Nagar, Kanpur, Uttar Pradesh, 208012",10:00 AM to 10:00 PM,"26.4683532,80.3158237",09305045172
 V-Mart ," Plot No 104, 439A, P Road, Rambagh Chauraha, Ram Bagh, Rambagh, Kanpur, Uttar Pradesh, 208004",10:00 AM to 10:00 PM,"26.4725142,80.3301408",08448855749
 V-Mart ," No 1 49 W 1, 127/49, W 1, Gaushala Road, Saket Nagar, Juhi Kalan, Juhi, Kanpur, Uttar Pradesh, 208014",10:00 AM to 10:00 PM,"26.441014,80.309507",09336893586
 V-Mart ," Plot No 44A/1, Karrahi Road, Near Maya Market, Barra, Kanpur Nagar, Uttar Pradesh, 208027",10:00 AM to 10:00 PM,"26.425354,80.304121",09311388651
 V-Mart ," 43A/3, Lovekush Vihar, Hamirpur Road, Naubasta, Naubasta, Kanpur Nagar, Uttar Pradesh, 208021",10:00 AM to 10:00 PM,"26.409792,80.317153",09205364279
 V-Mart ," Shop No 6/392, Rahul Bhawan, Rajdhani Marg, Sarvodaya Nagar, Shuklaganj, Unnao, Uttar Pradesh, 209861",10:00 AM to 10:00 PM,"26.4853838,80.3919781",08448085172
 V-Mart ," No 128/105/B, Raman Bihari Bhawan, Yashoda Nagar, Yashoda Nagar, Kanpur, Uttar Pradesh, 208011",10:00 AM to 10:00 PM,"26.410799,80.330228",07303134964
 V-Mart ," Palampur City Mall, Main Market Road, Near HDFC Bank, Palampur, Kangra, Himachal Pradesh, 176052",10:00 AM to 10:00 PM,"32.1052151,76.5339596",07303200879
 V-Mart ," Plot No 291, Shahganj Sadar Bazaar, Ab Nagar, Unnao, Uttar Pradesh, 209801",10:00 AM to 10:00 PM,"26.5416112,80.4817349",08800837092
 V-Mart ," Kota Road, Infront of Government Senior Secondary School, Bara Pancharole, Baran, Rajasthan, 325205",11:00 AM to 10:00 PM,"25.099224,76.504117",09289551044
 V-Mart ," Chandel Market, Harjindar Nagar Chouraha, Lal Bangla, Harjinder Nagar, Kanpur Nagar, Uttar Pradesh, 208007",10:00 AM to 10:00 PM,"26.416747,80.3917865",07303182526
 V-Mart ," Main Road, Opposite Bus Stand, Adarsh Colony, Kangra, Himachal Pradesh, 176001",10:00 AM to 10:00 PM,"32.1139666,76.279339",07303184440
 V-Mart ," Kcp 1, Rajat Platina, Maharana Pratap Circle, Kunadi, Kota, Rajasthan, 324008",10:00 AM to 10:00 PM,"25.198454,75.840616",07303627002
 V-Mart ," Kcp 1, Rajat Platina, Maharana Pratap Circle, Kunadi, Kota, Rajasthan, 324008",10:00 AM to 10:00 PM,"25.198454,75.840616",07303627002
 V-Mart ," Khasra No 27, Sitapur Road, Opposite Bakshi Ka Talab Railway Station, Bakshi Ka Talab, Lucknow, Uttar Pradesh, 226201",10:00 AM to 10:00 PM,"26.989236,80.9204145",07428389508
 V-Mart ," Plot No 5, Dubagga Chauraha, Sitapur Bypass, Hardoi Road, Opposite Chandaiya Eid Gaah, Aman Colony, Lucknow, Uttar Pradesh, 226101",10:00 AM to 09:30 PM,"26.876641,80.854282",07303527326
 V-Mart ," 1 Ch 19, Shopping Complex, Basant Vihar, Dadabari, Kota, Rajasthan, 324009",10:00 AM to 10:00 PM,"25.1551677,75.827248",09309048423
 V-Mart ," House No 3A1, Rangbari Road, Talwandi, Kota, Rajasthan, 324005",10:00 AM to 10:00 PM,"25.1421323,75.8381878",07303585366
 V-Mart ," Ground Floor, Mohan Road, Near Budheshwar Temple, Budheshwar Chauraha, Lucknow, Uttar Pradesh, 226003",10:00 AM to 10:00 PM,"26.8408418,80.8546051",07428495289
 V-Mart ," E 2169, Old Taxi Stand, Rajajipuram, Lucknow, Uttar Pradesh, 226017",10:00 AM to 10:00 PM,"26.8408935,80.8765482",08448491987
 V-Mart ," 439 C/193 N Tehsim Ganj Chowk, Thakurganj, Lucknow, Uttar Pradesh, 226003",10:00 AM to 10:00 PM,"26.8712852,80.8991997",07289005834
 V-Mart ," Shop No Cd/7, 98, Dalali Mohalla Chowk, Sabzi Mandi, Opposite Avadh Public School, Saadatganj, Lucknow, Uttar Pradesh, 226003",10:00 AM to 10:00 PM,"26.868346,80.901683",09335640068
